AMEX.	Американская фондовая биржа
вчт.	Информационные технологии
выборы.	Выборы
выкл.	Выключатели
выс.	Высокое напряжение
высок.	Высокопарно
выст.	Выставки
вьет.	Вьетнамский язык
вяж.	Вяжущие вещества
гавайск.	Гавайский
газ.турб.	Газовые турбины
гальв.	Гальваника
ганд.	Гандбол
гастр.	Гастроэнтерология
Гват.	Гватемала
ГДР	Германская демократическая республика
гельм.	Гельминтология
гемат.	Гематология
ген.	Генетика
ген.инж.	Генная инженерия
генеал.	Генеалогия
геобот.	Геоботаника
геогр.	География
геод.	Геодезия
геол.	Геология
геом.	Геометрия
геомех.	Геомеханика
геоморф.	Геоморфология
геофиз.	Геофизика
геохим.	Геохимия
геохрон.	Геохронология
геральд.	Геральдика
герп.	Герпентология
гиг.	Гигиена
гидр.	Гидрография
гидравл.	Гидравлика
гидроак.	Гидроакустика
гидрогеол.	Гидрогеология
гидрол.	Гидрология
гидромех.	Гидромеханика
гидротех.	Гидротехника
гимн.	Гимнастика
гинек.	Гинекология
гироск.	Гироскопы
гист.	Гистология
гляц.	Гляциология
голл.	Голландский язык
гольф.	Гольф
гомеопат.	Гомеопатия
гомос.	Гомосексуальный
Гонд	Гондурас
горн.	Горное дело
горн.лыж.	Горные лыжи
городск.застр.	Городская застройка
ГОСТ	ГОСТ
гостин.	Гостиничное дело
госуд.прав.	Государственное право
гпз.	Газоперерабатывающие заводы
грав.	Гравиметрия
гражд.прав.	Гражданское право
гражд.-проц.прав.	Гражданско-процессуальное право
грам.	Грамматика
граф.	Компьютерная графика
греб.	Гребля
греч.	Греческий язык
греч.миф.	Греческая мифология
груб.	Грубое выражение
грузов.	Грузовики
гум.	Гуманитаристика
ГЭС	Гидроэлектростанции
д.маш.	Детали машин
дактил.	Дактилоскопия
датск.	Датский язык
двс.	Двигатели внутреннего сгорания
дек.	Кинодекорационная техника
делопр.	Делопроизводство
демогр.	Демография
дер.	Деревообработка
дербет.	Дербетский диалект
дерм.	Дерматология
детск.	Детская речь
деф.	Дефектоскопия
джаз.	Джаз
Джангар	Эпос Джангар
джейн.	Джейн
дз.	Дзюдо
диал.	Диалект
дизел.двиг.	Дизельные двигатели
дип.	Дипломатический термин
дистил.	Дистилляция
докум.	Документооборот
должн.	Должность
Дом	Доминиканская республика
дом.	Доменное производство
дом.жив.	Домашние животные
дор.	Дорожное дело
дор.движ.	Дорожное движение
дор.зн.	Дорожный знак
дор.покр.	Дорожное покрытие
дор.стр.	Дорожное строительство
дорев.	Дореволюционный термин
досуг.	Досуг
др.-греч.	Древнегреческий язык
др.-евр.	Древне-еврейский язык
др.-рим.	Древне-римское
ЕБРР	ЕБРР
евр.	Еврейский язык
египт.	Египтология
ед.изм.	Единицы измерений
ЕС	Евросоюз
естествозн.	Естествознание
ж.д.	Железнодорожный термин
ж.д.сигн.	Железнодорожная сигнализация
жарг.	Жаргон
жив.	Живопись
животн.	Животноводство
жир.	Масложировая промышленность
журн.	Журналистика
загадк.	Загадка
занят.	Занятость
зв.	Звукозапись кинофильмов
зв.мех.	Механическая запись звука
зв.фот.	Фотографическая запись звука
зва.	Звёздная астрономия
звукоподр.	Звукоподражание
здрав.	Здравоохранение
земл.	Земляные работы
зен.	Зенитная артиллерия
золот.	Золотодобыча
ЗОМП	Защита от оружия массового поражения
зоол.	Зоология
зоот.	Зоотехния
зуб.имплант.	Зубная имплантология
зубч.перед.	Зубчатые передачи
ИА	Истребительная авиация
ивр.	Иврит
игр.	Игорный бизнес
идиом.	Идиоматическое выражение
идиш.	Идиш
из.	Изоляция
издат.	Издательские системы
изм.	Измерительные приборы
ИИ	Искусственный интеллект
имен.	Имена и фамилии
имен.	Имя
иммун.	Иммунология
иммуноген.	Иммуногенетика
иммунофарм.	Иммунофармакология
имя.собств.	Имя собственное
инвест.	Инвестиции
инд.	Индийский язык
индонез.	Индонезийское выражение
инет.	Интернет
инж.	Инженерные войска
инж.геол.	Инженерная геология
инстр.	Инструменты
Интернет	Интернет
инф.	Теория информации
инф.	Информатика
инф.безоп.	Информационная безопасность
инфекц.	Инфекционные болезни
инфр.	Инфракрасная техника
ирл.	Ирландский язык
ирон.	Ироническое выражение
ИС	Технология интегральных схем
иск.	Искусство
исл.	Исландский язык
исп.	Испанский язык
исп.амер.	Испано-американский жаргон
иссл.оп.	Исследование операций
ист.	История
ист.личн.	Исторические личности
итал.	Итальянский язык
ихт.	Ихтиология
каб.	Кабельные производство
казах.	Казахстан
калька.	Калька
кам.	Каменные конструкции
канад.	Канадский термин
канц.	Канцеляризм
канц.тов.	Канцтовары
кап.	Капитализм
Карачаганак	Карачаганак
кард.	Кардиология
кариб.	Карибский район
карт.	Карточный термин
картогр.	Картография
карц.	Карцинология
касп.	Каспий
католич.	Католический термин
квант.мех.	Квантовая механика
квант.электр.	Квантовая электроника
квк.	Ковка
керам.	Керамика
керам.плит.	Керамическая плитка
киб.	Кибернетика
кин.ап.	Киносъёмочная аппаратура
кино.	Кино
кинол.	Кинология
киносъём.	Техника киносъёмки
кинотех.	Кинотехника
Кипр.	Кипр
кирп.	Кирпичное производство
кит.	Китайский язык
КЛА	Космический летательный аппарат
КЛА.	Космический летательный аппарат
класс.мин.	Классификация минералов
клим.	Климатология
клин.исслед.	Клинические исследования
клинич.обсл.	Клинические обследования
Клише	Клише
книжн.	Книжное выражение
кнл.	Канализация
кож.	Кожевенная промышленность
кокни.	Жаргон "кокни"
Кол.	Колумбия
коллоид.	Коллоидная химия
колх.	Колхозное право
ком.хоз.	Коммунальное хозяйство
комб.	Комбинированные киносъёмки
комикс.	Комиксы
коммер.	Коммерция
комп.	Компьютерная техника
комп.жар.	Компьютерный жаргон
комп.защ.	Компьютерная защита
комп.игр.	Компьютерные игры
комп.муз.	Компьютерная музыка
комп.томогр.	Компьютерная томография
кон.	Коневодство
конв.	Конвертерное производство
конд.	Кондитерские изделия
кондиц.	Кондиционеры
конн.	Конный спорт
конс.	Консервирование
консалт.	Консалтинг
констр.	Строительные конструкции
конт.линз.	Контактные линзы
контр.	Контроль качества
контр.кач.	Контроль качества
коньк.	Коньки
кор.	Корейский язык
корабл.	Кораблевождение
корм.	Корма
корп.упр.	Корпоративное управление
корр.	Коррозия
коррупц.	Коррупция
косм.	Космонавтика
космет.	Косметология
кофе.	Кофе
крас.	Красители
крахм.	Крахмально-паточная промышленность
краш.	Крашение
крим.	Криминология
крипт.	Криптография
криптотех.	Криптотехнологии
крист.	Кристаллография
ксм.	Космогония и космология
Куб	Куба
кул.	Кулинария
культур.	Культурология
л.атл.	Лёгкая атлетика
л.д.	Литьё под давлением
л.м.	Литьевая машина
лаб.	Лабораторное оборудование
лазер.	Лазеры
лазер.мед.	Лазерная медицина
ландш.диз.	Ландшафтный дизайн
ласк.	Ласковое выражение
ласкат.	Ласкательно
лат.	Латинский язык
лат.-амер.	Латино-американское выражение
лат.-амер.жарг.	Латино-американский жаргон
лат.-амер.сл.	Латино-американский сленг
лекарст.	Лекарство
лексикогр.	Лексикография
лес.	Лесоводство
лесопил.	Лесопиление
лесохим.	Лесохимия
лин.	Линии электропередач
лингв.	Лингвистика
лингвостран.	Лингвострановедческий термин
лит.	Литература
лит.	Литология
литейн.произв.	Литейное производство
литьё.	Литьё
лифт.	Лифты
ЛКМ	Лакокрасочные материалы
лог.	Логика
логист.	Логистика
лук.	Стрельба из лука
лыж.	Лыжные гонки
льдообр.	Льдообразование
м.з.и.	Магнитная запись изображения
магм.	Магматизм
магн.	Магнетизм
магн.томогр.	Магнитнорезонансная томография
Мадр	Мадрид
Майкр.	Майкрософт
Майкрософт	Майкрософт
Макаров	Макаров
Макаров.	Макаров
мал.	Малакология
малайск.	Малайский язык
маляр.	Малярное дело
мам.	Маммология
маори.	Маори
маркет.	Маркетология
маркет.	Маркетинг
маркш.	Маркшейдерия
Марок	Марокко
март.	Мартеновское производство
мат.	Математика
мат.ан.	Математический анализ
матем.	Математика
материаловед.	Материаловедение
маш.	Машиностроение
МВФ.	Международный валютный фонд
меб.	Мебель
мед.	Медицина
мед.-биол.	Медико-биологические науки
мед.тех.	Медицинская техника
межд.перевозки.	Международные перевозки
междун.прав.	Международное право
междун.торг.	Международная торговля
междун.частн.прав.	Международное частное право
международн.отнош.	Международные отношения
мекс.	Мексиканское выражение
мелиор.	Мелиорация
менедж.	Менеджмент
местн.	Местное название
мет.	Металлургия
мет.об.	металлообработка
мет.обр.	Металлообработка
метал.	Металлургия
метео.	Метеорология
метеорол.	Метеорология
метр.	Метрология
метро.	Метрополитен
мех.	Механика
мех.гр.	Механика грунтов
механиз.	Механизмы
мигр.	Миграция
МИД	МИД
мик.	Микология
микр.	Микробиология
микроск.	Микроскопия
микроэл.	Микроэлектроника
мин.	Минералогия
миф.	Мифология
млекопит.	Млекопитающие
мобил.тех.	Мобильные технологии
мод.	Мода
мол.	Молочное производство
мол.биол.	Молекулярная биология
мол.ген.	Молекулярная генетика
мол.жарг.	Молодёжный жаргон
молдавск.	Молдавский язык
Моликпак	Моликпак
монт.	Монтажное дело
мор.	Морской термин
Москва	Москва
мост.	Мостостроение
мотоцикл.	Мотоциклы
мрачн.	Мрачно
мтв.	Металловедение
муз.	Музыка
муз.инстр.	Музыкальные инструменты
музей.	Музеи
мук.	Мучное производство
мульт.	Мультипликационное кино
мульт.	Мультфильмы
мультимед.	Мультимедийные технологии
мяс.	Мясное производство
н.-нем.	Нижне-немецкое выражение
н.тенн.	Настольный теннис
нав.	Навигация
назв.комп.	Название компании
назв.орг.	Название организации
налог.	Налоги
нано.	Нанотехнологии
напит.	Напитки
нарк.	Наркотики
народн.	Народное выражение
наряд-допуск.	Система наряд-допусков
НАСА	НАСА
НАСДАК	НАСДАК
наслед.	Наследственное право
насос.	Насосы
НАТО	НАТО
науч.кинемат.	Научная кинематография
научн.	Научный термин
нац.	Национальность
неап.	Неаполитанское выражение
невр.	Неврология
негрит.	Негритянский жаргон
недвиж.	Недвижимость
нейропсихол.	Нейропсихология
нейрохир.	Нейрохирургия
нелин.опт.	Нелинейная оптика
нем.	Немецкий язык
неодобр.	Неодобрительно
неолог.	Неологизм
неорг.хим.	Неорганическая химия
непр.разл.	Непрерывная разливка
неправ.	Неправильно употребляемый термин
несоветск.	Несоветский
несоц.	Несоциалистический
нефр.	Нефрология
нефт.	Нефть
нефт.газ.	Нефть и газ
нефтегаз.	Нефтегазовая техника
нефтепром.	Нефтепромысловый
Никараг.	Никарагуа
НИОКР	Исследования и разработки
нмх.	Небесная механика
новозел.	Новозеландское выражение
норв.	Норвежский язык
нпз.	Нефтеперерабатывающие заводы
нумизм.	Нумизматика
нутр.	Нутрициология
обг.	Обогащение
обл.	Областное выражение
обм.	Обмотки
обр.	Обработка кинофотоматериалов
обр.дан.	Обработка данных
образ.	Образование
образн.	Образное выражение
обув.	Обувная промышленность
общ.	Общая лексика
общ.орг.	Общественная организация
общ.пит.	Общественное питание
обществ.	Обществоведение
огн.	Огнеупоры
одеж.	Одежда
океан.	Океанология
океаногр.	Океанография
окон.произв.	Оконное производство
окруж.	Окружающая среда
онк.	Онкология
ООН	ООН
оп.сист.	Операционные системы
опт.	Оптика
орг.крас.	Органические красители
орг.пр.	Организация производства
орг.прест.	Организованная преступность
орг.тех.	Оргтехника
орг.хим.	Ограническая химия
орнит.	Орнитология
ортоп.	Ортопедия
оруж.	Оружейное производство
осв.	Киноосветительная аппаратура
отопл.	Отопление
отх.	Отходы
офиц.	Официальное выражение
офт.	Офтальмология
охот.	Охота
охр.	Охрана труда
очист.вод.	Очистка сточных вод
ошибочн.	Ошибочное употребление
п.-б.	Палеоботаника
палеонт.	Палеонтология
палин.	Палинология
Панам	Панама
пар.	Парусные суда
Парагв	Парагвай
паразитол.	Паразитология
парапсихол.	Парапсихология
парашют.	Парашютный спорт
парихм.	Парикмахерское искусство
парлам.	Парламентское выражение
парус.	Парусный спорт
парф.	Парфюмерия
пасп.безоп.	Паспорт безопасности вещества
пат.	Патология
патент.	Патенты
ПВО	ПВО
пед.	Педиатрия
перен.	Переносный смысл
перс.	Персидский язык
Перу	Перу
петр.	Петрография
печатн.пл.	Печатные платы
печать3d.	Печать 3d
пиар.	Связи с общественностью
пив.	Пивное производство
пищ.	Пищевая промышленность
пл.	Производство плит
плав.	Плавание
план.	Планирование
пласт.	Пластмассы
ПО	Программное обеспечение
погов.	Поговорка
погр.	Погрузочное оборудование
подв.	Подводные лодки
подводн.	Подводное плавание
пож.	Пожарное дело
покр.	Покрытия
пол.иск.	Полезные ископаемые
полигр.	Полиграфия
полим.	Полимеры
полинез.	Полинезийское выражение
полит.	Политика
политэк.	Политэкономия
полиц.	Полицейский термин
полупр.	Полупроводники
польск.	Польский язык
пор.мет.	Порошковая металлургия
португ.	Португальский язык
посл.	Пословица
почв.	Почвоведение
почт.	Почта
почтит.	Почтительно
поэт.	Поэтический язык
пр.вод.	Прыжки в воду
пр.выс.	Прыжки в высоту
пр.лыж.	Прыжки на лыжах
прав.чел.	Права человека
правит.	Правительство
превосх.	Превосходная степень
презр.	Презрительное выражение
пренебр.	Пренебрежительно
пресс.	Прессовое оборудование
прив.	Привод
прогр.	Программирование
проек.	Кинопроекционная техника
произв.	Производство
произв.помещ.	Производственные помещения
произв.упак.	Производство упаковки
прок.	Прокат
пром.	Промышленность
пром.гиг.	Промышленная гигиена
прост.	Просторечие
протист.	Протистология
проф.	Профессиональный термин
профс.	Профсоюзы
проц.прав.	Процессуальное право
прыж.	Прыжки
прыж.трампл.	Прыжки с трамплина
пряд.	Прядение
прям.перен.	Прямой и переносный смысл
психиатр.	Психиатрия
психоан.	Психоанализ
психогиг.	Психогигиена
психол.	Психология
психолингв.	Психолингвистика
психопатол.	Психопатология
психотер.	Психотерапия
психофиз.	Психофизиология
птиц.	Птицеводство
пульм.	Пульмонология
путеш.	Путешествия
пчел.	Пчеловодство
радио.	Радио
радиобиол.	Радиобиология
радиол.	Радиология
развед.	Разведка
разг.	Разговорное выражение
разн.	Разновидность минерала
разоруж.	Разоружение
разраб.мест.	Разработка месторождений
распр.	Распределение энергии
раст.	Растениеводство
расход.	Расходометрия
рбт.	Робототехника
рда.	Радиоастрономия
рдгд.	Радиогеодезия
рег.	Автоматическое регулирование
рег.дв.	Регулирование движения
регб.	Регби
редк.	Редкое выражение
резин.	Резиновая промышленность
рейнск.	Рейнское выражение
рекл.	Реклама
рел.	Религия
релейн.защит.	Релейная защита и автоматика
рентг.	Рентгенология
рентгр.	Рентгенография
рептил.	Амфибии и рептилии
ритор.	Риторика
рифм.сл.	Рифмованный сленг
ркт.	Ракетная техника
рлк.	Радиолокация
Россия.	Россия
руг.	Ругательство
рудн.	Рудные месторождения
рукод.	Рукоделие
румынск.	Румынский язык
русск.	Русский язык
рыб.	Рыбоводство
рыбал.	Рыбалка
рыбол.	Рыболовство
рын.труд.	Рынок труда
С.-Дом.	Сан-Доминго
с.-х.	Сельское хозяйство
сад.	Садоводство
санит.	Санитария
санн.	Санный спорт
санскр.	Санскрит
сантех.	Сантехника
сарк.	Сарказм
сахал.	Сахалин
сахал.а.	Сахалин А
сахал.р.	Сахалин Р
сахал.ю.	Сахалин Ю
сахар.	Сахарное производство
св.	Связь
свар.	Сварка
СВП	Суда на воздушной подушке
свт.	Светотехника
сев.-нем.	Северо-немецкий
северн.Ирл.	Северная Ирландия
сейсм.	Сейсмология
сейсм.соор.	Сейсмостойкость сооружений
секс.	Секс
сексопатол.	Сексопатология
сел.	Селекция
сенс.	Сенситометрия
сет.пл.	Сетевое планирование
сеть.	Сетевые технологии
сигн.	Сигнализация
сил.	Силикатное производство
сил.эл.	Силовая электроника
сингапур.	Сингапурский сленг
сист.	Систематика
сист.орг.	Систематика организмов
сицил.	Сицилийский диалект
сказ.	Сказки
сканд.	Скандинавские языки
скачк.	Скачки
скваж.	Управление скважиной
склад.	Складское дело
скульп.	Скульптура
сл.	Сленг
сл.пл.	Слоистые пластики
славянск.	Славянское выражение
смаз.мат.	Смазочные материалы
СМИ	СМИ
СМС	СМС
снабж.	Снабжение
собак.	Собаководство
собир.	Собирательно
советск.	Советский термин
совр.	Современное выражение
сокр.	Сокращение
солн.	Солнечная энергия
сом.	Соматика
сопр.	Сопротивление материалов
сот.свз.	Сотовая связь
соц.	Социализм
соц.обесп.	Социальное обеспечение
соц.сети.	Социальные сети
социол.	Социология
социол.	Социализм
Союз-Аполлон	Союз-Аполлон
спектр.	Спектроскопия
спец.	Специальный термин
специи.	Специи
СПИД.	СПИД
спирт.	Производство спирта
спич.	Спичечное производство
СПК	Суда на подводных крыльях
спл.	Лесосплав
спорт.	Спорт
спут.	Спутниковая связь
ср.-нем.	Средне-немецкое выражение
сравн.	Сравнительная степень
станк.	Станки
старофр.	Старофранцузский
стат.	Статистика
стекл.	Стеклодувное производство
стеклотар.	Стеклотарная промышленность
стерео.	Стерео
стил.	Стилистика
стих.	Стихосложение
стом.	Стоматология
стр.	Строительство
стр.мт.	Строительные материалы
страт.	Стратиграфия
страх.	Страхование
стрелк.	Стрелковое оружие
стрелк.спорт.	Стрелковый спорт
студ.	Студенческая речь
суд.мед.	Судебная медицина
судостр.	Судостроение
сухопутн.	Сухопутные силы
с.х.	Сельское хозяйство
сцен.	Сценарное мастерство
США	США
сыр.	Сыры
т.атл.	Тяжёлая атлетика
т.вер.	Теория вероятности
т.граф.	Теория графов
т.игр.	Теория игр
т.м.	Торговая марка
т.мн.	Теория множеств
т.над.	Надёжность
т.у.з.	Теория управления запасами
т.чис.	Теория чисел
таб.	Табачная промышленность
табу.	Табуированная лексика
тавромах.	Тавромахия
тайск.	Тайский язык
таксон.	Таксономия
тамож.	Таможенная деятельность
тарн.	Производство тары
татарск.	Татарский язык
театр.	Театр
текст.	Текстиль
тект.	Тектоника
телегр.	Телеграфия
телеком.	Телекоммуникации
тенгиз.	Тенгизшевройл
тенн.	Теннис
теол.	Теология
теор.	Теория
теор.прав.	Теория права
тепл.	Теплотехника
тепл.апп.	Теплообменные аппараты
тепл.энерг.	Теплоэнергетика
тепличн.тех.	Тепличные технологии
теплоперед.	Теплопередача
терат.	Тератология
терм.	Термодинамика
террит.	Территориальный термин
тех.	Техника
типогр.	Типографика
ткач.	Ткачество
тлв.	Телевидение
тлм.	Телемеханика
тлф.	Телефония
тмо.	Теория массового обслуживания
токсикол.	Токсикология
топогр.	Топография
топол.	Топология
топоним.	Топонимика
торг.	Торговля
торг.флот.	Торговый флот
торгут.	Торгутский диалект
торп.	Торпеды
тоск.	Тосканское выражение
травм.	Травматология
традиц.	Традиции
трансп.	Транспорт
транспл.	Трансплантология
трансф.	Трансформаторы
триб.	Трибология
трик.	Трикотаж
труб.	Трубопроводы
труд.прав.	Трудовое право
тун.	Туннелестроение
тур.	Турецкий язык
туристск.	Туризм
тюремн.	Тюремный жаргон
тюрк.	Тюркские языки
тяг.	Электротяга
увелич.	Увеличительное выражение
угол.	Уголовное право
угол.-проц.прав.	Уголовно-процессуальное право
уголь.	Уголь
узк.	Узкоплёночное кино
узк.смысл.	Узкий смысл
укр.	Украина
уменьш.	Уменьшительно
унив.	Университет
уничиж.	Уничижительно
упак.	Упаковка
управл.проект.	Управление проектами
уровнеметр.	Уровнеметрия
урол.	Урология
Уругв	Уругвай
усл.	Условное обозначение
уст.	Устаревшее слово
уст.выр.	Устоявшееся выражение
устн.	Устная речь
уфол.	Уфология
уч.дисципл.	Названия учебных дисциплин
уэльс.выраж.	Уэльс
файл.расшир.	Расширение файла
фалер.	Фалеристика
фам.	Фамильярное выражение
фан.	Производство фанеры
фант.	Фантастика
фант.	Фантастика, фэнтези
фарм.	Фармакология
фармац.	Фармация
ФБР	Федеральное бюро расследований
ферм.	Ферментация
фехт.	Фехтование
фигурн.кат.	Фигурное катание
физ.	Физика
физ.мет.	Физика металлов
физ.-хим.	Физическая химия
физиол.	Физиология
Фил	Филиппины
филател.	Филателия
филол.	Филология
филос.	Философия
фин.	Финансы
фирм.	Фирменный знак
фитопатол.	Фитопатология
фольк.	Фольклор
фон.	Фонетика
формы комп.	Организационно-правовые формы компаний
фото.	Фото
фр.	Французский язык
фраз.	Фразеологизм
ф.расш.	Расширение файла
ФРГ	Федеративная республика Германия
фтт.	Физика твёрдого тела
фунд.	Фундаментостроение
футб.	Футбол
хакер.	Хакерство
хим.	Химия
хим.волокн.	Химические волокна
хим.номенкл.	Химическая номенклатура
хим.оруж.	Химическое оружие
хим.пром.	Химическая промышленность
хим.соед.	Химические соединения
хир.	Хирургия
хлебопек.	Хлебопекарни
хобби.	Хобби
хоз.прав.	Хозяйственное право
хоккей.	Хоккей
хол.	Холодильная техника
хореогр.	Хореография
христ.	Христианство
хроматогр.	Хроматография
Ц.-Ам	Центральная Америка
ЦБ	Ценные бумаги
цв.	Цветная фотография
цв.мет.	Цветная металлургия
цвет.	Цветоводство
цел.-бум.	Целлюлозно-бумажная промышленность
цем.	Цемент
церк.	Церковный термин
цинк.	Цинкование
цирк.	Цирковой жаргон
цитат.	Цитаты
цитоген.	Цитогенетика
цитол.	Цитология
час.	Часовое производство
чат.	Чат
чел.рес.	Человеческие ресурсы
черч.	Черчение
чешск.	Чешский язык
Чили.	Чили
чингл.	Чинглиш
шахм.	Шахматы
шведск.	Шведский язык
швейн.	Швейное производство
швейц.	Швейцарское выражение
шир.экр.	Широкоэкранное кино
широк.смысл.	Широкий смысл
школ.	Школьное выражение
шотл.	Шотландский язык
шоу-бизн.	Шоу-бизнес
штмп.	Штамповка
шутл.	Шутливое выражение
эвол.	Эволюция
эвф.	Эвфемизм
эзот.	Эзотерика
эк.	Экономика
Эквад	Эквадор
экол.	Экология
экол.иммун.	Экологическая иммунология
экон.	Экономика
эконометр.	Эконометрика
экстр.	Экструзия
эл.	Электроника
эл.маш.	Электрические машины
эл.тех.	Электротехника
электрич.	Электричество
электроф.	Электрофорез
элмед.	Электромедицина
элмет.	Электрометаллургия
ЭЛТ	Электронно-лучевые трубки
элтерм.	Электротермия
элхим.	Электрохимия
эмбр.	Эмбриология
эмоц.	Эмоциональное выражение
эмоц.усил.	Эмоционально-усилительно
энд.	Эндокринология
энерг.	Энергетика
энсист.	Энергосистемы
энт.	Энтомология
эпид.	Эпидемиология
э-почта.	Электронная почта
эск.	Эскимосское выражение
эспер.	Эсперанто
Эстрем	Эстремадура
этика.	Этика
этн.	Этнография
этнол.	Этнология
этнопсихол.	Этнопсихология
этол.	Этология
Ю.-Ам	Южная Америка
ю.-з.-нем.	Юго-западно-немецкое выражение
ю.-нем.	Южно-немецкий диалект
юв.	Ювелирное дело
юж.-нид.	Южно-нидерландское выражение
южн.-афр.	Южно-африканское выражение
южно-афр.	Южно-африканский сленг
юр.	Юридический термин
юр.Н.П.	Юридический (Н.П.)
яд.оруж.	Ядерное оружие
яд.физ.	Ядерная физика
яд.хим.	Ядерная химия
яп.	Японский язык
яхт.	Яхтенный спорт
