AMEX.	Американская фондовая биржа
вент.	Вентиляция
верл.	Верлан
верт.	Вертолёты
вет.	Ветеринария
вибр.монит.	Вибромониторинг
вин.	Виноградарство
винил.проигр.	Проигрыватели виниловых дисков
винодел.	Виноделие
вирусол.	Вирусология
влч.	Волочение
ВМФ	Военно-морской флот
внеш.полит.	Внешняя политика
внеш.торг.	Внешняя торговля
воен.	Военный термин
воен.жарг.	Военный жаргон
воен.-полит.	Военно-политический термин
возвыш.	Возвышенное выражение
возд.	Воздухоплавание
вол.	Волоконная техника
волейб.	Волейбол
вор.	Воровское выражение
воскл.	Восклицание
вост.-ср.-нем.	Восточно-средне-немецкое выраж.
всн.	Водоснабжение
ВТО	Всемирная торговая организация
вулк.	Вулканология
в.ф.	Вакуумное формование
вчт.	Информационные технологии
ВЧ.эл	Высокочастотная электроника
выборы.	Выборы
выкл.	Выключатели
выс.	Высокое напряжение
высок.	Высокопарно
выст.	Выставки
гавайск.	Гавайский
газ.турб.	Газовые турбины
гальв.	Гальваника
ганд.	Гандбол
гастр.	Гастроэнтерология
ГДР	Германская демократическая республика
гельм.	Гельминтология
гемат.	Гематология
ген.	Генетика
генеал.	Генеалогия
ген.инж.	Генная инженерия
геобот.	Геоботаника
геогр.	География
геод.	Геодезия
геол.	Геология
геом.	Геометрия
геомех.	Геомеханика
геоморф.	Геоморфология
геофиз.	Геофизика
геохим.	Геохимия
геохрон.	Геохронология
геральд.	Геральдика
герп.	Герпентология
гиг.	Гигиена
гидр.	Гидрография
гидравл.	Гидравлика
гидроак.	Гидроакустика
гидрогеол.	Гидрогеология
гидрол.	Гидрология
гидромех.	Гидромеханика
гидротех.	Гидротехника
гимн.	Гимнастика
гинек.	Гинекология
гироск.	Гироскопы
гист.	Гистология
гляц.	Гляциология
голл.	Голландский язык
гомеопат.	Гомеопатия
гомос.	Гомосексуальный
Гонд	Гондурас
горн.	Горное дело
горн.лыж.	Горные лыжи
ГОСТ	ГОСТ
гостин.	Гостиничное дело
госуд.прав.	Государственное право
гпз.	Газоперерабатывающие заводы
грав.	Гравиметрия
гражд.прав.	Гражданское право
гражд.-проц.прав.	Гражданско-процессуальное право
грам.	Грамматика
граф.	Компьютерная графика
греб.	Гребля
греч.	Греческий язык
греч.миф.	Греческая мифология
груб.	Грубое выражение
грузов.	Грузовики
ГЭС	Гидроэлектростанции
дактил.	Дактилоскопия
датск.	Датский язык
двс.	Двигатели внутреннего сгорания
дек.	Кинодекорационная техника
демогр.	Демография
дер.	Деревообработка
дербет.	Дербетский диалект
дерм.	Дерматология
детск.	Детская речь
деф.	Дефектоскопия
джаз.	Джаз
Джангар	Эпос Джангар
джейн.	Джейн
дз.	Дзюдо
диал.	Диалект
дип.	Дипломатический термин
д.маш.	Детали машин
должн.	Должность
Дом	Доминиканская республика
дом.	Доменное производство
дом.жив.	Домашние животные
дор.	Дорожное дело
дор.движ.	Дорожное движение
дорев.	Дореволюционный термин
дор.зн.	Дорожный знак
дор.покр.	Дорожное покрытие
дор.стр.	Дорожное строительство
др.-греч.	Древнегреческий язык
др.-евр.	Древне-еврейский язык
др.-рим.	Древне-римское
ЕБРР	ЕБРР
евр.	Еврейский язык
египт.	Египтология
ед.изм.	Единицы измерений
ЕС	Евросоюз
жарг.	Жаргон
ж.д.	Железнодорожный термин
ж.д.сигн.	Железнодорожная сигнализация
жив.	Живопись
жир.	Масложировая промышленность
журн.	Журналистика
загадк.	Загадка
занят.	Занятость
зв.	Звукозапись кинофильмов
зва.	Звёздная астрономия
зв.мех.	Механическая запись звука
звукоподр.	Звукоподражание
зв.фот.	Фотографическая запись звука
здрав.	Здравоохранение
земл.	Земляные работы
зен.	Зенитная артиллерия
золот.	Золотодобыча
ЗОМП	Защита от оружия массового поражения
зоол.	Зоология
зоот.	Зоотехния
зуб.имплант.	Зубная имплантология
зубч.перед.	Зубчатые передачи
ИА	Истребительная авиация
игр.	Игорный бизнес
идиом.	Идиоматическое выражение
идиш.	Идиш
из.	Изоляция
издат.	Издательские системы
изм.	Измерительные приборы
ИИ	Искусственный интеллект
имен.	Имена и фамилии
иммун.	Иммунология
иммуноген.	Иммуногенетика
иммунофарм.	Иммунофармакология
инвест.	Инвестиции
инд.	Индийский язык
индонез.	Индонезийское выражение
инж.	Инженерные войска
инж.геол.	Инженерная геология
инстр.	Инструменты
Интернет	Интернет
инф.	Теория информации
инф.безоп.	Информационная безопасность
инфекц.	Инфекционные болезни
инфр.	Инфракрасная техника
ирл.	Ирландский язык
ирон.	Ироническое выражение
ИС	Технология интегральных схем
иск.	Искусство
исл.	Исландский язык
исп.	Испанский язык
исп.амер.	Испано-американский жаргон
иссл.оп.	Исследование операций
ист.	История
итал.	Итальянский язык
ихт.	Ихтиология
каб.	Кабельные производство
кам.	Каменные конструкции
канад.	Канадский термин
канц.	Канцеляризм
кап.	Капитализм
Карачаганак	Карачаганак
кард.	Кардиология
кариб.	Карибский район
карт.	Карточный термин
картогр.	Картография
карц.	Карцинология
касп.	Каспий
католич.	Католический термин
квант.мех.	Квантовая механика
квант.электр.	Квантовая электроника
квк.	Ковка
керам.	Керамика
керам.плит.	Керамическая плитка
киб.	Кибернетика
кин.ап.	Киносъёмочная аппаратура
кино.	Кино
кинол.	Кинология
киносъём.	Техника киносъёмки
кинотех.	Кинотехника
кирп.	Кирпичное производство
кит.	Китайский язык
КЛА	Космический летательный аппарат
класс.мин.	Классификация минералов
клин.исслед.	Клинические исследования
клинич.обсл.	Клинические обследования
Клише	Клише
книжн.	Книжное выражение
кнл.	Канализация
кож.	Кожевенная промышленность
кокни.	Жаргон "кокни"
колх.	Колхозное право
комб.	Комбинированные киносъёмки
комикс.	Комиксы
коммер.	Коммерция
комп.	Компьютерная техника
комп.жар.	Компьютерный жаргон
комп.игр.	Компьютерные игры
комп.муз.	Компьютерная музыка
ком.хоз.	Коммунальное хозяйство
кон.	Коневодство
конв.	Конвертерное производство
конд.	Кондитерские изделия
кондиц.	Кондиционеры
конн.	Конный спорт
конс.	Консервирование
консалт.	Консалтинг
констр.	Строительные конструкции
конт.линз.	Контактные линзы
контр.кач.	Контроль качества
кор.	Корейский язык
корм.	Корма
корп.упр.	Корпоративное управление
коррупц.	Коррупция
косм.	Космонавтика
космет.	Косметология
крахм.	Крахмально-паточная промышленность
краш.	Крашение
крим.	Криминология
крипт.	Криптография
крист.	Кристаллография
ксм.	Космогония и космология
Куб	Куба
кул.	Кулинария
культур.	Культурология
лаб.	Лабораторное оборудование
лазер.	Лазеры
лазер.мед.	Лазерная медицина
ландш.диз.	Ландшафтный дизайн
ласк.	Ласковое выражение
ласкат.	Ласкательно
лат.	Латинский язык
лат.-амер.	Латино-американское выражение
лат.-амер.жарг.	Латино-американский жаргон
л.атл.	Лёгкая атлетика
л.д.	Литьё под давлением
лекарст.	Лекарство
лексикогр.	Лексикография
лес.	Лесоводство
лесопил.	Лесопиление
лесохим.	Лесохимия
лин.	Линии электропередач
лингв.	Лингвистика
лингвостран.	Лингвострановедческий термин
лит.	Литература
лит.	Литология
литейн.произв.	Литейное производство
лифт.	Лифты
ЛКМ	Лакокрасочные материалы
л.м.	Литьевая машина
лог.	Логика
логист.	Логистика
лыж.	Лыжные гонки
льдообр.	Льдообразование
магм.	Магматизм
магн.	Магнетизм
Мадр	Мадрид
Майкрософт	Майкрософт
Макаров	Макаров
мал.	Малакология
малайск.	Малайский язык
маляр.	Малярное дело
мам.	Маммология
маори.	Маори
маркет.	Маркетология
маркш.	Маркшейдерия
Марок	Марокко
март.	Мартеновское производство
мат.ан.	Математический анализ
матем.	Математика
материаловед.	Материаловедение
маш.	Машиностроение
меб.	Мебель
мед.	Медицина
мед.тех.	Медицинская техника
межд.перевозки.	Международные перевозки
международн.отнош.	Международные отношения
междун.прав.	Международное право
междун.торг.	Международная торговля
междун.частн.прав.	Международное частное право
мекс.	Мексиканское выражение
мелиор.	Мелиорация
менедж.	Менеджмент
местн.	Местное название
метал.	Металлургия
метеорол.	Метеорология
мет.об.	металлообработка
метр.	Метрология
метро.	Метрополитен
мех.	Механика
механиз.	Механизмы
мех.гр.	Механика грунтов
м.з.и.	Магнитная запись изображения
МИД	МИД
мик.	Микология
микр.	Микробиология
микроск.	Микроскопия
микроэл.	Микроэлектроника
мин.	Минералогия
миф.	Мифология
млекопит.	Млекопитающие
мобил.тех.	Мобильные технологии
мод.	Мода
мол.	Молочное производство
мол.биол.	Молекулярная биология
мол.ген.	Молекулярная генетика
мол.жарг.	Молодёжный жаргон
Моликпак	Моликпак
монт.	Монтажное дело
мор.	Морской термин
Москва	Москва
мост.	Мостостроение
мотоцикл.	Мотоциклы
мрачн.	Мрачно
мтв.	Металловедение
муз.	Музыка
музей.	Музеи
мук.	Мучное производство
мульт.	Мультипликационное кино
мяс.	Мясное производство
нав.	Навигация
налог.	Налоги
нано.	Нанотехнологии
нарк.	Наркотики
народн.	Народное выражение
наряд-допуск.	Система наряд-допусков
НАСА	НАСА
НАСДАК	НАСДАК
наслед.	Наследственное право
насос.	Насосы
НАТО	НАТО
науч.кинемат.	Научная кинематография
научн.	Научный термин
нац.	Национальность
неап.	Неаполитанское выражение
невр.	Неврология
негрит.	Негритянский жаргон
недвиж.	Недвижимость
нейропсихол.	Нейропсихология
нейрохир.	Нейрохирургия
нем.	Немецкий язык
неодобр.	Неодобрительно
неолог.	Неологизм
неорг.хим.	Неорганическая химия
неправ.	Неправильно употребляемый термин
несоветск.	Несоветский
нефр.	Нефрология
нефт.	Нефть
нефт.газ.	Нефть и газ
нефтегаз.	Нефтегазовая техника
нефтепром.	Нефтепромысловый
НИОКР	Исследования и разработки
нмх.	Небесная механика
н.-нем.	Нижне-немецкое выражение
новозел.	Новозеландское выражение
норв.	Норвежский язык
нпз.	Нефтеперерабатывающие заводы
нумизм.	Нумизматика
обг.	Обогащение
обл.	Областное выражение
обм.	Обмотки
обр.	Обработка кинофотоматериалов
образ.	Образование
образн.	Образное выражение
обр.дан.	Обработка данных
обув.	Обувная промышленность
общ.	Общая лексика
общ.орг.	Общественная организация
огн.	Огнеупоры
одеж.	Одежда
океан.	Океанология
океаногр.	Океанография
окруж.	Окружающая среда
онк.	Онкология
ООН	ООН
оп.сист.	Операционные системы
опт.	Оптика
орг.крас.	Органические красители
орг.пр.	Организация производства
орг.прест.	Организованная преступность
орг.тех.	Оргтехника
орг.хим.	Ограническая химия
орнит.	Орнитология
ортоп.	Ортопедия
оруж.	Оружейное производство
осв.	Киноосветительная аппаратура
отопл.	Отопление
отх.	Отходы
офиц.	Официальное выражение
офт.	Офтальмология
охот.	Охота
охр.	Охрана труда
палеонт.	Палеонтология
палин.	Палинология
Панам	Панама
пар.	Парусные суда
Парагв	Парагвай
паразитол.	Паразитология
парапсихол.	Парапсихология
парашют.	Парашютный спорт
парихм.	Парикмахерское искусство
парлам.	Парламентское выражение
парус.	Парусный спорт
парф.	Парфюмерия
пат.	Патология
патент.	Патенты
п.-б.	Палеоботаника
ПВО	ПВО
пед.	Педиатрия
перен.	Переносный смысл
перс.	Персидский язык
Перу	Перу
петр.	Петрография
печатн.пл.	Печатные платы
пиар.	Связи с общественностью
пив.	Пивное производство
пищ.	Пищевая промышленность
пл.	Производство плит
плав.	Плавание
план.	Планирование
пласт.	Пластмассы
ПО	Программное обеспечение
погов.	Поговорка
погр.	Погрузочное оборудование
подв.	Подводные лодки
подводн.	Подводное плавание
пож.	Пожарное дело
полигр.	Полиграфия
полим.	Полимеры
полинез.	Полинезийское выражение
пол.иск.	Полезные ископаемые
полит.	Политика
политэк.	Политэкономия
полиц.	Полицейский термин
полупр.	Полупроводники
польск.	Польский язык
пор.мет.	Порошковая металлургия
португ.	Португальский язык
посл.	Пословица
почв.	Почвоведение
почт.	Почта
почтит.	Почтительно
поэт.	Поэтический язык
правит.	Правительство
пр.вод.	Прыжки в воду
презр.	Презрительное выражение
пренебр.	Пренебрежительно
пресс.	Прессовое оборудование
прив.	Привод
пр.лыж.	Прыжки на лыжах
прогр.	Программирование
проек.	Кинопроекционная техника
произв.	Производство
произв.помещ.	Производственные помещения
прок.	Прокат
пром.	Промышленность
пром.гиг.	Промышленная гигиена
прост.	Просторечие
протист.	Протистология
проф.	Профессиональный термин
профс.	Профсоюзы
проц.прав.	Процессуальное право
пряд.	Прядение
прям.перен.	Прямой и переносный смысл
психиатр.	Психиатрия
психоан.	Психоанализ
психогиг.	Психогигиена
психол.	Психология
психолингв.	Психолингвистика
психотер.	Психотерапия
психофиз.	Психофизиология
птиц.	Птицеводство
пульм.	Пульмонология
путеш.	Путешествия
пчел.	Пчеловодство
радио.	Радио
радиобиол.	Радиобиология
радиол.	Радиология
развед.	Разведка
разг.	Разговорное выражение
распр.	Распределение энергии
раст.	Растениеводство
расход.	Расходометрия
рбт.	Робототехника
рда.	Радиоастрономия
рдгд.	Радиогеодезия
рег.	Автоматическое регулирование
регб.	Регби
рег.дв.	Регулирование движения
редк.	Редкое выражение
резин.	Резиновая промышленность
рейнск.	Рейнское выражение
рекл.	Реклама
рел.	Религия
релейн.защит.	Релейная защита и автоматика
рентг.	Рентгенология
рентгр.	Рентгенография
рептил.	Амфибии и рептилии
ритор.	Риторика
рифм.сл.	Рифмованный сленг
ркт.	Ракетная техника
рлк.	Радиолокация
руг.	Ругательство
рудн.	Рудные месторождения
рукод.	Рукоделие
румынск.	Румынский язык
русск.	Русский язык
рыб.	Рыбоводство
рыбол.	Рыболовство
рын.труд.	Рынок труда
сад.	Садоводство
санит.	Санитария
санскр.	Санскрит
сантех.	Сантехника
сахал.	Сахалин
сахал.а.	Сахалин А
сахал.р.	Сахалин Р
сахал.ю.	Сахалин Ю
сахар.	Сахарное производство
св.	Связь
свар.	Сварка
СВП	Суда на воздушной подушке
свт.	Светотехника
сев.-нем.	Северо-немецкий
сейсм.	Сейсмология
секс.	Секс
сексопатол.	Сексопатология
сел.	Селекция
сенс.	Сенситометрия
сет.пл.	Сетевое планирование
сеть.	Сетевые технологии
сигн.	Сигнализация
сил.	Силикатное производство
сист.	Систематика
сист.орг.	Систематика организмов
сказ.	Сказки
сканд.	Скандинавские языки
скачк.	Скачки
скваж.	Управление скважиной
склад.	Складское дело
скульп.	Скульптура
сл.	Сленг
славянск.	Славянское выражение
сл.пл.	Слоистые пластики
смаз.мат.	Смазочные материалы
СМИ	СМИ
СМС	СМС
снабж.	Снабжение
собак.	Собаководство
собир.	Собирательно
советск.	Советский термин
совр.	Современное выражение
сокр.	Сокращение
солн.	Солнечная энергия
сопр.	Сопротивление материалов
сот.свз.	Сотовая связь
соц.	Социализм
социол.	Социология
социол.	Социализм
соц.обесп.	Социальное обеспечение
соц.сети.	Социальные сети
Союз-Аполлон	Союз-Аполлон
спектр.	Спектроскопия
спец.	Специальный термин
спирт.	Производство спирта
спич.	Спичечное производство
СПК	Суда на подводных крыльях
спл.	Лесосплав
спорт.	Спорт
спут.	Спутниковая связь
ср.-нем.	Средне-немецкое выражение
станк.	Станки
стат.	Статистика
стекл.	Стеклодувное производство
стеклотар.	Стеклотарная промышленность
стерео.	Стерео
стил.	Стилистика
стих.	Стихосложение
стом.	Стоматология
стр.	Строительство
страт.	Стратиграфия
страх.	Страхование
стрелк.	Стрелковое оружие
стрелк.спорт.	Стрелковый спорт
стр.мт.	Строительные материалы
студ.	Студенческая речь
суд.мед.	Судебная медицина
судостр.	Судостроение
сухопутн.	Сухопутные силы
с.-х.	Сельское хозяйство
США	США
сыр.	Сыры
таб.	Табачная промышленность
табу.	Табуированная лексика
тавромах.	Тавромахия
тайск.	Тайский язык
тамож.	Таможенная деятельность
тарн.	Производство тары
татарск.	Татарский язык
т.атл.	Тяжёлая атлетика
т.вер.	Теория вероятности
т.граф.	Теория графов
театр.	Театр
текст.	Текстиль
тект.	Тектоника
телегр.	Телеграфия
телеком.	Телекоммуникации
тенн.	Теннис
теол.	Теология
теор.	Теория
теор.прав.	Теория права
тепл.	Теплотехника
тепл.апп.	Теплообменные аппараты
тепличн.тех.	Тепличные технологии
теплоперед.	Теплопередача
терат.	Тератология
терм.	Термодинамика
террит.	Территориальный термин
тех.	Техника
т.игр.	Теория игр
типогр.	Типографика
ткач.	Ткачество
тлв.	Телевидение
тлм.	Телемеханика
тлф.	Телефония
т.м.	Торговая марка
т.мн.	Теория множеств
тмо.	Теория массового обслуживания
т.над.	Надёжность
токсикол.	Токсикология
топогр.	Топография
топол.	Топология
топоним.	Топонимика
торг.	Торговля
торгут.	Торгутский диалект
торг.флот.	Торговый флот
торп.	Торпеды
тоск.	Тосканское выражение
травм.	Травматология
трансп.	Транспорт
транспл.	Трансплантология
трансф.	Трансформаторы
триб.	Трибология
трик.	Трикотаж
труб.	Трубопроводы
труд.прав.	Трудовое право
т.у.з.	Теория управления запасами
тун.	Туннелестроение
тур.	Турецкий язык
туристск.	Туризм
т.чис.	Теория чисел
тюремн.	Тюремный жаргон
тюрк.	Тюркские языки
тяг.	Электротяга
увелич.	Увеличительное выражение
угол.	Уголовное право
угол.-проц.прав.	Уголовно-процессуальное право
уголь.	Уголь
узк.	Узкоплёночное кино
уменьш.	Уменьшительно
унив.	Университет
уничиж.	Уничижительно
упак.	Упаковка
управл.проект.	Управление проектами
уровнеметр.	Уровнеметрия
урол.	Урология
Уругв	Уругвай
усл.	Условное обозначение
уст.	Устаревшее слово
уфол.	Уфология
уч.дисципл.	Названия учебных дисциплин
уэльс.выраж.	Уэльс
файл.расшир.	Расширение файла
фалер.	Фалеристика
фам.	Фамильярное выражение
фан.	Производство фанеры
фант.	Фантастика
фарм.	Фармакология
фармац.	Фармация
ФБР	Федеральное бюро расследований
фехт.	Фехтование
фигурн.кат.	Фигурное катание
физ.	Физика
физиол.	Физиология
физ.мет.	Физика металлов
физ.-хим.	Физическая химия
Фил	Филиппины
филател.	Филателия
филол.	Филология
филос.	Философия
фин.	Финансы
фирм.	Фирменный знак
фитопатол.	Фитопатология
фольк.	Фольклор
фон.	Фонетика
формы комп.	Организационно-правовые формы компаний
фото.	Фото
фр.	Французский язык
фраз.	Фразеологизм
ФРГ	Федеративная республика Германия
фтт.	Физика твёрдого тела
фунд.	Фундаментостроение
футб.	Футбол
хакер.	Хакерство
хим.	Химия
хим.волокн.	Химические волокна
хим.номенкл.	Химическая номенклатура
хим.оруж.	Химическое оружие
хим.соед.	Химические соединения
хир.	Хирургия
хлебопек.	Хлебопекарни
хобби.	Хобби
хоз.прав.	Хозяйственное право
хоккей.	Хоккей
хол.	Холодильная техника
хореогр.	Хореография
христ.	Христианство
хроматогр.	Хроматография
Ц.-Ам	Центральная Америка
ЦБ	Ценные бумаги
цв.	Цветная фотография
цвет.	Цветоводство
цв.мет.	Цветная металлургия
цел.-бум.	Целлюлозно-бумажная промышленность
цем.	Цемент
церк.	Церковный термин
цинк.	Цинкование
цирк.	Цирковой жаргон
цитат.	Цитаты
цитоген.	Цитогенетика
цитол.	Цитология
час.	Часовое производство
чат.	Чат
чел.рес.	Человеческие ресурсы
черч.	Черчение
чешск.	Чешский язык
шахм.	Шахматы
шведск.	Шведский язык
швейн.	Швейное производство
швейц.	Швейцарское выражение
широк.смысл.	Широкий смысл
шир.экр.	Широкоэкранное кино
школ.	Школьное выражение
шотл.	Шотландский язык
шоу-бизн.	Шоу-бизнес
штмп.	Штамповка
шутл.	Шутливое выражение
эвол.	Эволюция
эвф.	Эвфемизм
эзот.	Эзотерика
Эквад	Эквадор
экол.	Экология
экол.иммун.	Экологическая иммунология
экон.	Экономика
эконометр.	Эконометрика
экстр.	Экструзия
эл.	Электроника
электрич.	Электричество
электроф.	Электрофорез
эл.маш.	Электрические машины
элмед.	Электромедицина
элмет.	Электрометаллургия
ЭЛТ	Электронно-лучевые трубки
элтерм.	Электротермия
эл.тех.	Электротехника
элхим.	Электрохимия
эмбр.	Эмбриология
эмоц.	Эмоциональное выражение
эмоц.усил.	Эмоционально-усилительно
энд.	Эндокринология
энерг.	Энергетика
энсист.	Энергосистемы
энт.	Энтомология
эпид.	Эпидемиология
эск.	Эскимосское выражение
эспер.	Эсперанто
Эстрем	Эстремадура
этика.	Этика
этн.	Этнография
этнол.	Этнология
этнопсихол.	Этнопсихология
этол.	Этология
Ю.-Ам	Южная Америка
юв.	Ювелирное дело
юж.-нид.	Южно-нидерландское выражение
южно-афр.	Южно-африканский сленг
ю.-з.-нем.	Юго-западно-немецкое выражение
ю.-нем.	Южно-немецкий диалект
юр.	Юридический термин
юр.Н.П.	Юридический (Н.П.)
яд.оруж.	Ядерное оружие
яд.физ.	Ядерная физика
яп.	Японский язык
яхт.	Яхтенный спорт
